Dataset,Algorithm,CorrelationThreshold,NumFeatures,F1Score,BalancedAccuracy,AUC
Baseline,XGBoost,0.8,46,0.7142737949199018,0.6218172305545866,0.7497384025113359
Baseline,XGBoost,0.85,50,0.7538843147565134,0.6725671433554238,0.7626438786187653
Baseline,XGBoost,0.9,57,0.7315794754685306,0.6406522497384025,0.7506103941402162
Baseline,XGBoost,0.95,63,0.7388740623441079,0.6602720613882107,0.7462504359958145
Ela_metadataset,SVM_Linear,0.8,28,0.6528713124175216,0.5351412626438786,0.7710149982560167
Ela_metadataset,SVM_Linear,0.85,32,0.6817987030493947,0.5646145797000348,0.7324729682595046
Ela_metadataset,SVM_Linear,0.9,34,0.6733473309155691,0.5564178583885595,0.7303801883501917
Ela_metadataset,SVM_Linear,0.95,38,0.6688518791628448,0.5515347052668295,0.7546215556330659
Ela_metadataset,SVM_RBF,0.8,28,0.6928772729235952,0.5776944541332404,0.7495640041855598
Ela_metadataset,SVM_RBF,0.85,32,0.6800040372945081,0.5678409487268923,0.7609870945238926
Ela_metadataset,SVM_RBF,0.9,34,0.688471292021588,0.5735960934775026,0.7467736309731426
Ela_metadataset,SVM_RBF,0.95,38,0.6840832621375609,0.569497732821765,0.7467736309731426
Ela_metadataset,RandomForest,0.8,28,0.7582492303410052,0.658702476456226,0.7780781304499477
Ela_metadataset,RandomForest,0.85,32,0.7690738658380899,0.6758807115451692,0.7726717823508895
Ela_metadataset,RandomForest,0.9,34,0.7451816211702488,0.6439658179281479,0.7676142309033833
Ela_metadataset,RandomForest,0.95,38,0.7512717167889582,0.6570456923613534,0.7683118242064876
Ela_metadataset,KNN,0.8,28,0.6397365240294415,0.5333972793861179,0.6464073944890129
Ela_metadataset,KNN,0.85,32,0.6600100366659817,0.5587722357865365,0.6633240320892919
Ela_metadataset,KNN,0.9,34,0.6476467652720175,0.5440355772584583,0.6793686780606907
Ela_metadataset,KNN,0.95,38,0.6816407732301177,0.58170561562609,0.6863446110917336
Ela_metadataset,DecisionTree,0.8,28,0.6855104895104897,0.5972270666201605,0.5972270666201605
Ela_metadataset,DecisionTree,0.85,32,0.6354416271374314,0.5497035228461807,0.5497035228461807
Ela_metadataset,DecisionTree,0.9,34,0.6615968930041953,0.576735263341472,0.576735263341472
Ela_metadataset,DecisionTree,0.95,38,0.6472015746491272,0.5644401813742588,0.5644401813742588
Ela_metadataset,NaiveBayes,0.8,28,0.3716248096338594,0.5533658876874782,0.6426578304848275
Ela_metadataset,NaiveBayes,0.85,32,0.38444198799228385,0.5509243111266132,0.6548657132891524
Ela_metadataset,NaiveBayes,0.9,34,0.40472541719300575,0.5525810952214859,0.6470177886292291
Ela_metadataset,NaiveBayes,0.95,38,0.4282924248945957,0.564876177188699,0.6504185559818625
Ela_metadataset,LogisticRegression,0.8,28,0.7391195518833886,0.6512905476107429,0.7567143355423788
Ela_metadataset,LogisticRegression,0.85,32,0.7538843147565134,0.6725671433554238,0.769271014998256
Ela_metadataset,LogisticRegression,0.9,34,0.7538843147565134,0.6725671433554238,0.7677014300662715
Ela_metadataset,LogisticRegression,0.95,38,0.7415785304943391,0.6578304848273456,0.7781653296128357
Ela_metadataset,XGBoost,0.8,28,0.7784958832808622,0.70204046041158,0.7830484827345657
Ela_metadataset,XGBoost,0.85,32,0.7391195518833886,0.6512905476107429,0.7783397279386118
Ela_metadataset,XGBoost,0.9,34,0.7292727462321648,0.6430938262992675,0.7704918032786884
Ela_metadataset,XGBoost,0.95,38,0.7590047033834015,0.6676839902336937,0.7940355772584583
